factory_name,product_type,nike_inc_brands,events,address,city,state,postal_code,country,operating_region,total_workers,line_workers,percent_female_workers,percent_migrant_workers,contact_name,contact_phone,contact_fax,contact_email,subcons,serialid
ASENA 3 TEXTIL S.R.L.,APPAREL,"NIKE, CONVERSE",,LENIN STREET NO:81/B,KIPCAK,,6118,MOLDOVA,Emerging Markets,247,232,91,0.4,,,,,,24
ASENA 4,APPAREL,"NIKE, CONVERSE",,LENIN STREET NO. 243/A,KONGAZ,,3819,MOLDOVA,Emerging Markets,372,366,92,0.5,,,,,,25
ASENA TEXTILE,APPAREL,NIKE,,STR KIROVA 142,KAZAKLIA,ATO GAGAUZIA,6113,MOLDOVA,Emerging Markets,315,282,93,0.4,,,,,,26
ASENA-TEXTIL S.R.L.,APPAREL,NIKE,,LENIN 42/1,CADIR-LUNGA,,MD-6110,MOLDOVA,Emerging Markets,216,173,95,0,,,,,,27
ASIA GARMENT MANUFACTURER (VN),APPAREL,NIKE,,"LOT 106/6-1, ROAD 2, AMATA INDUSTRIAL ZONE, LONG BINH WARD, BIEN HOA CITY, DONG NAI, VIETNAM",BIEN HOA,DONG NAI,,VIETNAM,Emerging Markets,2174,1214,89,0.2,,,,,,28
ASIA LINE,APPAREL,NIKE,,THORAKOLAYAYA ROAD,MIDDENIYA,,,SRI LANKA,Emerging Markets,1658,1150,84,0,,,,,,29
ASPENCREW SPORTS GEAR,APPAREL,"NIKE, CONVERSE",,KHASRA NO. 143KH,"MOHABEWALA, INDUSTRIAL AREA",DEHRADUN,248001,INDIA,Emerging Markets,400,380,30,0,,,,,,30
ATELIER DE COSTURA GIOLA,FOOTWEAR,CONVERSE,,"STREET SOBRADINHO, NÂº 271",PRESIDENTE LUCENA,RS,93945000,BRAZIL,Emerging Markets,29,28,99,0,,,,,,31
ATELIER MARIA BERNADETE KASPARY,FOOTWEAR,NIKE,,"RUA ESTRADA SÃƒO ROQUE, S/NÂº",FELIZ,RS,95.770-000,BRAZIL,Emerging Markets,38,36,90,0,,,,,,32
ATOMS,EQUIPMENT,NIKE,College,156-5 DAIFUKU,SAKURAI,NARA PREFECTURE,633-0067,JAPAN,Japan,11,10,36,0,Shigeo Okada,0744-46-5181,0744-46-5182,atoms-okada@world.ocn.ne.jp,,33
AURORA INDUSTRIAL(VIETNAM) FOOTWEAR,FOOTWEAR,CONVERSE,,"THIEN HUONG COMMUNE, THUY NGUYEN DISTRICT",HAIPHONG,,,VIETNAM,Emerging Markets,7882,6805,88,1.1,,,,,,34
AZIM CORAP,EQUIPMENT,CONVERSE,,"4 BOLGE, SANAYI 1 BULVARI, BUYUKCEKMECE",ISTANBUL,,,TURKEY,Central and Eastern Europe,405,371,43,0,,,,,,35
"BC GRAPHICS, INC",APPAREL,NIKE,College,915 NE DAVIS,PORTLAND,OR,97232,USA,North America,28,22,35,0,Todd Grasle,503 734-7302,503 233  3725,ToddG@bcgraphicsonline.com,,36
BEAUTOP INC.,APPAREL,CONVERSE,,"PHASE 5 BLOCK 6, LOT 4, STERLING INDUSTRIAL PARK LIBTONG",MEYCAUAYAN,BULACAN,3020,PHILIPPINES,Emerging Markets,22,20,90,0,,,,,,37
"BENEFIT SHOES CO., LTD.",FOOTWEAR,CONVERSE,,"50, SOI THEINTALAY16  ,BANGKHUNTHEIN-CHAYTALAYRD., SAMAEDAM BANGKHUNTHEIN",BANGKOK,,,THAILAND,Emerging Markets,494,464,78,2.2,,,,,,38
BIG GAME SPORTS,EQUIPMENT,NIKE,College,13835 WELCH RD,DALLAS,TEXAS,75244,USA,North America,28,22,16,0,Chris Calandro,972-292-0700,972-292-1558,ccalandro@biggameusa.com,,39
BLUE PRINT LAUNDRY,APPAREL,CONVERSE,,924 NEWARK AVE,JERSEY CITY,NEW JERSEY,7306,USA,North America,6,3,50,0,,,,,,40
BLUE STAR GRAPHICS,APPAREL,NIKE,,2500 REGENT BOULEVARD,DALLAS,TEXAS,75261,USA,North America,43,29,65,13.8,,,,,,41
BLUSAS KIRBY INDUSTRIA E COMÃ‰RCIO LTDA,APPAREL,NIKE,,"AV. SANTANA DO MUNDAU, 800",GUARULHOS,SÃƒO PAULO,07242-190,BRAZIL,Emerging Markets,32,31,99,0,,,,,,42
BODYLINE (PVT) LIMITED,APPAREL,"NIKE, HURLEY",College,RATNAPURA ROAD,HORANA,WESTERN PROVINCE,12400,SRI LANKA,Emerging Markets,5696,4846,81,0,Mahesh Rodrigo,94773411972,94344285524,maheshro@masholdings.com,,43
BODYLINE (PVT) LIMITED (BPL II),APPAREL,NIKE,,KALAWELLAWA ROAD,AGALAWATTA,WESTERN PROVINCE,12200,SRI LANKA,Emerging Markets,2250,1630,96,0,,,,,,44
BODYLINE PRIVATE LIMITED III,APPAREL,NIKE,,KALAWELLAWA ROAD,AGALAWATTA,SRI LANKA,12200,SRI LANKA,Emerging Markets,828,786,92,0,,,,,,45
BOECK & BOECK,FOOTWEAR,CONVERSE,,"ROD.GETÃ_LIO VARGAS, 1760. CENTRO",PICADA-CAFÃ‰,RS,95175000,BRAZIL,Emerging Markets,34,32,90,0,,,,,,46
BORDAPRINT SA DE CV,APPAREL,CONVERSE,,ATENCO # 27,NAUCALPAN DE JUAREZ,EDO. DE MEXICO,53348,MEXICO,Emerging Markets,96,80,40,0,,,,,,47
"BOU JIN (YANGZHOU) GARMENTS CO., LTD",APPAREL,"NIKE, CONVERSE, HURLEY",,"NO. 1, BAO YUEN RD., YUEYUEN INDUSTRIAL PARK, YANGZHOU",YANGZHOU,JIANGSU,225000,CHINA,Greater China,1416,1311,73,0,,,,,,48
BRANCH #1 OF MAXPORT GARMENT JOINT STOCK COMPANY,APPAREL,NIKE,,TRAN THAI TONG STREET â€“NGUYEN DUC CANH INDUSTRIAL ZONE,THAI BINH,THAI BINH,10000,VIETNAM,Emerging Markets,3450,2900,75,0,,,,,,49
BRANCH #2 OF MAXPORT GARMENT JOINT STOCK COMPANY,APPAREL,NIKE,,"D1 TA HIEN ST, PHUC KHANH INDUSTRIAL ZONE",THAI BINH,THAI BINH,10000,VIETNAM,Emerging Markets,1160,1045,78,0,,,,,,50
BRANCH #3 OF MAXPORT GARMENT JOINT STOCK COMPANY,APPAREL,NIKE,,LOT # A2 NGUYEN DUC CANH INDUSTRIAL ZONE,THAI BINH,THAI BINH,,VIETNAM,Emerging Markets,875,805,78,0,,,,,,51
BUMCHANG DOORI,EQUIPMENT,NIKE,,"RM.601, SK BUILDING, #223-28, SANGDAEWON-DONG, JOONGWON-GU",SUNGNAM-SI,KYUNGGI-DO,461-182,SOUTH KOREA,Emerging Markets,14,13,46,7.7,,,,,,52
C S ALLIANCE INTERNATIONAL COMPANY LIMITED,EQUIPMENT,"NIKE, CONVERSE",,"SHENWAN VILLAGE, BUNFU TOWN",ZHONGSAN,GUANGDONG,523160,CHINA,Greater China,205,150,80,0,,,,,,53
C&E CONFECCOES LTDA,APPAREL,HURLEY,,"R LUIZ WESTPHAL , 386",SAO GABRIEL DA PALHA,ES,29780-000,BRAZIL,Emerging Markets,179,170,40,0,,,,,,54
C&W EMBROIDERY,APPAREL,NIKE,College,386 HWY 356,RIENZI,MISSISSIPPI,38865,USA,North America,122,113,89,0,Tim Wiygul,662 462 7309,662 468 8368,TimW@cwcompanies.com,,55
C.C. CREATIONS,APPAREL,NIKE,College,1800 SHILOH AVENUE,BRYAN,TEXAS,77803,USA,North America,176,130,48,0,,,,,,56
CALÃ‡ADOS HAMMES LTDA.,FOOTWEAR,NIKE,,"RUA GETÃ_LIO VARGAS, 1766",VENÃ‚NCIO AIRES,RIO GRANDE DO SUL,95800-000,BRAZIL,Emerging Markets,41,38,93,0,,,,,,57
CALÃ‡ADOS ROIZI LTDA.,FOOTWEAR,NIKE,,"CORREDOR PATICULAR, NÂº40 - BAIRRO DAS INDÃ_STRIAS",ESTRELA,RIO GRANDE DO SUL,95880-000,BRAZIL,Emerging Markets,138,133,95,0,,,,,,58
CALCETINES DE EXPORTACIÃ“N SAN JOSÃ‰ S.A. DE C.V,APPAREL,CONVERSE,,MIRASOLES 12,PUEBLA,PUEBLA,0,MEXICO,Emerging Markets,21,18,61,0,,,,,,59
CALIFORNIA TEXTILE S.A. DE C.V.,APPAREL,NIKE,,CALIFORNIA 1768 SUR,"ESPERANZA, CD OBREGON",SONORA,85210,MEXICO,Emerging Markets,1738,1642,67,2.9,,,,,"LEOTEX TEXTILE, S.A. DE C.V.",60
CALZIMAGLIFICIO CARNIEL,APPAREL,CONVERSE,,VIA LAZZARO MOCENIGO 28,CORDIGNANO,TREVISO,31016,ITALY,Western Europe,6,4,65,0,,,,,,61
"CAMPECHE SPORTSWEAR, S. DE R.L.DE C.V.",APPAREL,"NIKE, CONVERSE, HURLEY",,ANTIGUA CARRETERA CAMPECHE-HAMPOLOL,SAN FRANCISCO DE CAMPECHE,CAMPECHE,24023,MEXICO,Emerging Markets,426,334,60,0,,,,,,62
"CAN SPORTS VIETNAM CO., LTD",FOOTWEAR,NIKE,,"THUAN HOA  HAMLET, TRUONG MIT COMMUNE",DUONG MINH CHAU DISTRICT,TAY NINH PROVINCE,73000,VIETNAM,Emerging Markets,5598,4584,67,0,,,,,,63
"CAN SPORTS VIETNAM CO., LTD - TRANG BANG BRANCH (T",FOOTWEAR,NIKE,,"GIA LAM COMMUNE, GIA LOC VILLAGE",TRANG BANG,TAY NINH,,VIETNAM,Emerging Markets,648,564,73,0,,,,,,64
CANGALLO Y CIA S.A.,APPAREL,CONVERSE,,"CALLE LOS EBANISTAS 108, URB EL ARTESANO, ATE, LIMA 3",LIMA,LIMA,3,PERU,Emerging Markets,66,39,34,0,,,,,,65
CASUAL WEAR APPAREL LLC,APPAREL,NIKE,,675 WADI AD-DULAYL INDUSTRIAL PARK (QIZ),AD-DULAYL,JORDAN,13136,JORDAN,Emerging Markets,1400,1300,80,80.8,,,,,,66
"CCH TOP (VN) CO., LTD.",APPAREL,"NIKE, HURLEY",College,"TAN THUAN ROAD, TAN THUAN EXPORT PROCESSING ZONE, DIST. 7",HO CHI MINH,HO CHI MINH,7000,VIETNAM,Emerging Markets,1957,1879,86,56.8,SUNG-YIE LIAO,886-4-27014108,886-4-27018139,liao@cchcap.com.tw,,67
CESEKA TEKSTIL VE KONFEKSIYON SAN VE TIC. A.S,APPAREL,NIKE,,FATSA ORGANIZE SANAYI BOLGESI,FATSA - ORDU,ISTANBUL,52400,TURKEY,Central and Eastern Europe,213,201,65,0,,,,,,68
CEYLON KNIT TREND (PVT) LTD,APPAREL,"NIKE, HURLEY",,GATAHETTA,EHELIYAGODA,SABARAGAMUWA,70620,SRI LANKA,Emerging Markets,1120,603,91,0,,,,,,69
CEYLON KNIT TREND (PVT) LTD.,APPAREL,NIKE,,# 55,MAHARAGAMA,WESTERN,10280,SRI LANKA,Emerging Markets,1220,650,90,0,,,,,,70
"CHAI YAU UMBRELLA CO., LTD CHANG TAI FUJIAN",EQUIPMENT,NIKE,,INDUSTRIAL STREET,ZHANGZHOU,FUJIAN,363900,CHINA,Greater China,65,54,87,0,,,,,,71
CHANG DAE APPAREL,APPAREL,NIKE,,"#161-1, CHANG DAE BUILDING, MUK-DONG",SEOUL,KOREA,131-823,SOUTH KOREA,Emerging Markets,53,47,79,0,,,,,,72
CHANG SHIN INDONESIA,FOOTWEAR,NIKE,,"JL DUSUN GINTUNGKOLOT RT 16/04, GINTUNGKERTA , KLARI",KARAWANG,WEST JAVA,41371,INDONESIA,Emerging Markets,13014,11261,88,0.4,,,,,,73
"CHANG SHIN VIETNAM CO., LTD",FOOTWEAR,NIKE,,"LOT C, LOC AN â€“ BINH SON INDUSTRIAL ZONE",LONG THANH DISTRICT,DONG NAI,0,VIETNAM,Emerging Markets,2109,1851,96,0,,,,,,74
"CHANG SHIN VIETNAM COMPANY, LTD.",FOOTWEAR,NIKE,,"THANH PHU, VINH CUU",DONG NAI,DONG NAI,61,VIETNAM,Emerging Markets,21775,19552,79,0,,,,,"Framas Korea Vina Co., Ltd, Hapco Screen Printing",75
"CHANG WONG INDUSTRIAL CO., LTD.",EQUIPMENT,NIKE,,"NO.157, LN.92, FENGNAN ST., FENG YUAN DISTRICT",TAICHUNG CITY,,42084,TAIWAN,Greater China,30,26,40,0,,,,,,76
CHANGSHIN INC.,FOOTWEAR,NIKE,,"#558, SHINPYEONG-DONG, SAHA-GU",BUSAN,KOREA,604-030,SOUTH KOREA,Emerging Markets,536,184,32,0,,,,,,77
"CHANGZHOU ESQUEL KNITTING APPAREL CO., LTD",APPAREL,NIKE,,346-1 MIDDLE HE PING ROAD,CHANGZHOU,JIANGSU,213000,CHINA,Greater China,838,662,89,68,,,,,,78
CHIT GUAN (BP) SDN BHD,APPAREL,NIKE,,"P.O BOX 158, BATU 61/2, JALAN TANJONG LABOH 83000 BATU PAHAT, JOHOR",BATU PAHAT,JOHOR,83000,MALAYSIA,Emerging Markets,254,239,19,88.3,,,,,CHIT GUAN (BP) SDN BHD,79
"CHUAN CHENG HAT CO., LTD.",APPAREL,NIKE,College,"NO. 56, CHUNG SHAN ROAD",TAICHUNG,"TAIWAN, R.O.C.",407,TAIWAN,Greater China,98,81,76,18.5,Huang Kevin,886-4-27014108,886-4-27018139,kevin@cchcap.com.tw,,80
CIGNACHI - INDÃ_STRIA E COMÃ‰RCIO LTDA,FOOTWEAR,CONVERSE,,"RUA LUIZ BUSETTI, 216",FARROUPILHA,RS,95180000,BRAZIL,Emerging Markets,31,30,95,0,,,,,,81
CKT APPAREL (PVT) LIMITED,APPAREL,"NIKE, HURLEY",,YATIYANA,AGALAWATTE,WESTERN,12200,SRI LANKA,Emerging Markets,1250,1147,90,0,,,,,,82
CO RI NO S.A DE C.V,FOOTWEAR,NIKE,,AVENIDA DEL ZAPATERO 308,LEON,GUANAJUATO,37290,MEXICO,Emerging Markets,298,239,37,0,,,,,,83
COLLITEX S.R.L. (NOT A FINISHED GOODS SUPPLIER),FOOTWEAR,NIKE,,"STRADA PROVINCIALE BONIFICA, 41",ANCARANO,ABRUZZI,64010,ITALY,Western Europe,398,300,50,2.3,,,,,,84
COMPUKNIT HOSIERY AUSTRALIA P/L,EQUIPMENT,NIKE,,13 CHAFFEY STREET,THOMASTOWN,VICTORIA,3074,AUSTRALIA,Emerging Markets,30,25,60,0,,,,,,85
CONG TIEN GARMENT JOINT STOCK COMPANY,APPAREL,NIKE,,"27 MAC VAN THANH STREET, WARD 3",GO CONG,TIEN GIANG,84,VIETNAM,Emerging Markets,2532,2431,89,0,,,,,"Son Kha Screen Printing Co. Ltd, TTG Co. Ltd.",86
"CONTOUR OPTIK (JIANGXI) CO., LTD.",EQUIPMENT,CONVERSE,,YUJIANG INTERNATIONAL GLASSES INDUSTRIAL PARK,YINGTAN,JIANGXI,,CHINA,Greater China,111,71,48,0,,,,,,87
COOPERATIVA DE CALÃ‡ADOS QUIXERAMOBIM,FOOTWEAR,NIKE,,"RUA GERALDO BIZARRIA DE CARVALHO, 35",QUIXERAMOBIM,CEARÃÅ,63800-000,BRAZIL,Emerging Markets,3379,3312,53,0,,,,,,88
COOPERATIVA TEXTIL SEUCA LTDA.,APPAREL,CONVERSE,,LAS HERAS 513,GUAYMALLEN,MENDOZA,,ARGENTINA,Emerging Markets,30,28,74,10.7,,,,,,89
COOPERSHOES - COOPERATIVA DE CALÃ‡ADOS E COMPONENTES JOANETENSE LTDA,FOOTWEAR,"NIKE, CONVERSE",,"RUA VICENTE PRIETO, 3581, BAIRRO JOANETA",PICADA CAFÃ‰,RS,95.175-000,BRAZIL,Emerging Markets,1115,829,64,0,,,,,"Atelier de Costura Giola, Atelier Maria Bernadete Kaspary, Boeck & Boeck, EDSON LUIZ THOMAS ME, GCollor (screen printer), L.F.T industria de calÃ§ados LTDA, LISI CALÃ‡ADOS E COSTURA LTDA, P Santos Atelier de CalÃ§ados Ltda., Rz costuras LTDA, W.S. CalÃ§ados Ltda.",90
COOPERSHOES - COOPERATIVA DE CALCADOS E COMPONENTES JOANETENSE LTDA.,FOOTWEAR,CONVERSE,,CALLE EL MOLINO,LAS FLORES,ARGENTINA,7200,ARGENTINA,Emerging Markets,186,168,44,3,,,,,"Aderb beneficiamento de palmilhas e bordados, GCollor (screen printer), Irmaos Fonseca Benef. Calcados Ltda., L.F.T industria de calÃ§ados LTDA, RUBBERLOSS INDÃ_STRIA DE GOMA S.R.L., Topshoes Industria de Calcados",91
COOPERSHOES - COOPERATIVA DE CALÃ‡ADOS E COMPONENTES JOANETENSE LTDA.,FOOTWEAR,CONVERSE,,"RUA VICENTE FARAON, 626, BAIRRO CHAMPAGNE",GARIBALDI,RIO GRANDE DO SUL,95720000,BRAZIL,Emerging Markets,223,204,82,0,,,,,"Aderb beneficiamento de palmilhas e bordados, GCollor (screen printer), Irmaos Fonseca Benef. Calcados Ltda., Topshoes Industria de Calcados",92
COOPERSHOES - COOPERATIVA DE CALÃ‡ADOS E COMPONENTES JOANETENSE LTDA.,FOOTWEAR,CONVERSE,,"EST. RST 470, KM 109, NÂº 3181",VERANÃ“POLIS,RIO GRANDE DO SUL,95330-000,BRAZIL,Emerging Markets,444,365,78,0,,,,,"Aderb beneficiamento de palmilhas e bordados, GCollor (screen printer), Irmaos Fonseca Benef. Calcados Ltda., L.F.T industria de calÃ§ados LTDA, Rz costuras LTDA",93
COOPERSHOES-COOPERATIVA DE CALCADOS E COMPONETS JO,FOOTWEAR,CONVERSE,,"AV DO CONTORNO, S/NÂº - CE265",MORADA NOVA,CEARA,62940000,BRAZIL,Emerging Markets,1354,1296,67,0,,,,,"Aderb beneficiamento de palmilhas e bordados, GC Industria e Comercio Termotransferiveis Ltda., GCollor (screen printer), Irmaos Fonseca Benef. Calcados Ltda.",94
CORPORACIÃ“N INDYKNIT S.A.,APPAREL,NIKE,College,"CALZADA CONCEPCION 5TA CALLE, 5-26",VILLA NUEVA,GUATEMALA,,GUATEMALA,Emerging Markets,1274,1010,59,0,Gene Bate,1(317)462-4413,1 (317) 462-0994,gbate@indyknit.com,,95
CORTINA PANYU,EQUIPMENT,NIKE,,"NO. 20.1-2F, LING XING INDUSTRY SECTION","PANY,GUANGZHOU",GUANGDONG,511447,CHINA,Greater China,277,229,78,0,,,,,,96
COVEE - QUNYING,EQUIPMENT,HURLEY,,"275 KUANXIN RD., HUANGCANG",QIDONG CITY,JIANGSU,226226,CHINA,Greater China,96,60,90,0,,,,,,97
CPI RESOURCES,APPAREL,NIKE,,1939 BLAIR AVENUE,SANTA ANA,CALIFORNIA,92705,USA,North America,16,14,85,0,,,,,CPI Resources,98
CROWN MANUFACTURING,APPAREL,NIKE,College,8390 WOLF LAKE DRIVE,BARTLETT,TENNESSEE,38133,USA,North America,29,23,76,0,Joey Stem,901-371-8770,901-371-8761,Joey@CrownMfg.com,,99
CSA GUATEMALA S.A.,APPAREL,CONVERSE,,CALZADA SAN JUAN 39-69,GUATEMALA,GUATEMALA,1007,GUATEMALA,Emerging Markets,867,704,60,1.1,,,,,,100
DASS ELDORADO SRL,FOOTWEAR,"NIKE, CONVERSE",,"ALBERTO BEJAR BARRIOS, 407",ELDORADO,MISIONES,30-71008366-1,ARGENTINA,Emerging Markets,1341,1134,34,2.7,,,,,Dass Sul CalÃ§ados e Artigos Esportivos Ltda - Venancio Aires,101
DASS NORDESTE  CALÃ‡ADOS E ARTIGOS ESPORTIVOS LTDA.,APPAREL,NIKE,,"AV. JURACY MAGALHÃƒES, 5200",VITÃ“RIA DA CONQUISTA,BAHIA - BA,45023 -490,BRAZIL,Emerging Markets,769,607,70,0,,,,,,102
DASS NORDESTE CALÃ‡ADOS E ARTIGOS ESPORTIVOS LTDA,FOOTWEAR,NIKE,,"RUA JULIO HAUSER, 1640 - BAIRRO 7 DE SETEMBRO",IVOTI,RS,93900-000,BRAZIL,Emerging Markets,41,24,55,0,,,,,Flecksteel Industria de Artefatos Metalicos LTDA,103
DASS NORDESTE CALÃ‡ADOS E ARTIGOS ESPORTIVOS LTDA.,FOOTWEAR,NIKE,,"RUA PROFESSORA MARIA LIA CELIA VELLAME, S/N",SANTO ESTEVÃƒO,BAHIA,44190-000,BRAZIL,Emerging Markets,2122,1356,50,0,,,,,"CalÃ§ados Hammes Ltda., CALÃ‡ADOS ROIZI LTDA., EDSON LUIZ THOMAS ME, Flecksteel Industria de Artefatos Metalicos LTDA, Hapco Screen Printing, LISI CALÃ‡ADOS E COSTURA LTDA, NEPAL CALÃ‡ADOS LTDA, THOMAS E GOERGEN ATELIER DE CALÃ‡ADOS LTDA ME",104
DASS NORDESTE CALÃ‡ADOS E ARTIGOS ESPORTIVOS LTDA.,FOOTWEAR,NIKE,,"AV. JURACY MAGALHÃƒES, 5100",VITORIA DA CONQUISTA,BAHIA,45023-490,BRAZIL,Emerging Markets,1176,1051,45,0.2,,,,,,105
DASS SUL CALÃ‡ADOS E ARTIGOS ESPORTIVOS LTDA,APPAREL,NIKE,,"MARCILIO DIAS, 10",SAUDADES,SC,89868-000,BRAZIL,Emerging Markets,361,252,53,0,,,,,,106
DASS SUL CALÃ‡ADOS E ARTIGOS ESPORTIVOS LTDA - VENANCIO AIRES,FOOTWEAR,NIKE,,"RUA OTTMMAR BENNO SCHULTZ, 3700",VENANCIO AIRES,RIO GRANDE DO SUL,95800-000,BRAZIL,Emerging Markets,232,159,77,0,,,,,"CalÃ§ados Hammes Ltda., CALÃ‡ADOS ROIZI LTDA., LISI CALÃ‡ADOS E COSTURA LTDA, NEPAL CALÃ‡ADOS LTDA, THOMAS E GOERGEN ATELIER DE CALÃ‡ADOS LTDA ME",107
DEAN SHOES VIETNAM,FOOTWEAR,NIKE,,"LOT.1-4, 10-13, 26-37, ROAD NO3",HO CHI MINH CITY,"BINH CHIEU WARD, THU DUC DISTRICT",,VIETNAM,Emerging Markets,10350,9474,86,0,,,,,,108
"DECOTEX INTERNATIONAL, LDTA DE C.V.",APPAREL,NIKE,College,AMERICAN INDUSTRIAL PARK BLOCK H CALLE CANADA,CIUDAD ARCE,LA LIBERTAD,Zona 13,EL SALVADOR,Emerging Markets,382,272,47,0,Ivana Anaya,503-2327-6600,503-2340-8600,ianaya@decotexintl.com,,109
DELTA GALIL INDUSTRIES - CENTURY WEAR,APPAREL,NIKE,,AL - HASSAN INDUSTRIES,IRBID,JORDAN,21467,JORDAN,Emerging Markets,460,360,98,0,,,,,,110
